"filename", "language", "TypeScript", "Ignore", "Docker", "YAML", "JavaScript", "JSON", "Markdown", "Shell Script", "TypeScript JSX", "JSON with Comments", "PostCSS", "MS SQL", "comment", "blank", "total"
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/buckets/buckets.controller.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 125
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/buckets/buckets.module.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/buckets/buckets.service.test.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 105
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/buckets/buckets.service.ts", "TypeScript", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 311
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/common/crypto.service.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 60
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/common/env.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/common/public.decorator.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/common/request-context.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/connections/connections.controller.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 71
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/connections/connections.module.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
